group	word	accent_type	mora	pron	carrier_id	text	intermediate
asa	朝	1	2	アサ	0	そこに朝がならんでいる。	そ[こにあ][さがな[らんでいる
asa	麻	2	2	アサ	0	そこに麻がならんでいる。	そ[こにあ[さ]がな[らんでいる
asa	朝	1	2	アサ	1	ここに朝があるよ。	こ[こにあ][さがあ][るよ
asa	麻	2	2	アサ	1	ここに麻があるよ。	こ[こにあ[さ]があ][るよ
kata	肩	1	2	カタ	0	そこに肩がならんでいる。	そ[こにか][たがな[らんでいる
kata	型	2	2	カタ	0	そこに型がならんでいる。	そ[こにか[た]がな[らんでいる
kata	肩	1	2	カタ	1	ここに肩があるよ。	こ[こにか][たがあ][るよ
kata	型	2	2	カタ	1	ここに型があるよ。	こ[こにか[た]があ][るよ
kashi	菓子	1	2	カシ	0	そこに菓子がならんでいる。	そ[こにか][しがな[らんでいる
kashi	貸し	0	2	カシ	0	そこに貸しがならんでいる。	そ[こにか[しがな[らんでいる
kashi	菓子	1	2	カシ	1	ここに菓子があるよ。	こ[こにか][しがあ][るよ
kashi	貸し	0	2	カシ	1	ここに貸しがあるよ。	こ[こにか[しがあ][るよ
niji	虹	0	2	ニジ	0	そこに虹がならんでいる。	そ[こにに[じがな[らんでいる
niji	二時	1	2	ニジ	0	そこに二時がならんでいる。	そ[こにに][じがな[らんでいる
niji	虹	0	2	ニジ	1	ここに虹があるよ。	こ[こにに[じがあ][るよ
niji	二時	1	2	ニジ	1	ここに二時があるよ。	こ[こにに][じがあ][るよ
