source	id	text
embedded/notification	EMB_notification_003	更新が完了しました。再起動してください。
embedded/notification	EMB_notification_004	エラーが発生しました。もう一度お試しください。
embedded/notification	EMB_notification_005	ネットワークに接続できません。
embedded/notification	EMB_notification_006	温度が上昇しています。ご注意ください。
embedded/notification	EMB_notification_007	ドアが開いています。閉めてください。
embedded/notification	EMB_notification_008	保存しました。
embedded/notification	EMB_notification_009	メモリの空き容量が不足しています。
embedded/notification	EMB_notification_010	設定を変更しました。
embedded/notification	EMB_notification_011	新しいメッセージが3件あります。
embedded/notification	EMB_notification_012	充電が完了しました。ケーブルを抜いてください。
embedded/notification	EMB_notification_013	センサーの反応がありません。配線を確認してください。
embedded/notification	EMB_notification_014	処理を中断しました。
embedded/notification	EMB_notification_015	バックアップを開始します。しばらくお待ちください。
embedded/notification	EMB_notification_016	ようこそ。初期設定を始めます。
embedded/notification	EMB_notification_017	操作を受け付けました。
embedded/notification	EMB_notification_018	異常を検知しました。管理者に通知します。
embedded/notification	EMB_notification_019	まもなく電源が切れます。
embedded/notification	EMB_notification_020	音量を下げました。
embedded/notification	EMB_notification_021	カードを読み取りました。
embedded/notification	EMB_notification_022	認証に失敗しました。
embedded/counter	EMB_counter_001	りんごを1つください。
embedded/counter	EMB_counter_002	卵を1個使います。
embedded/counter	EMB_counter_003	傘を1本持っていきます。
embedded/counter	EMB_counter_004	参加者は1人だけでした。
embedded/counter	EMB_counter_005	コーヒーを1杯お願いします。
embedded/counter	EMB_counter_006	猫が1匹います。
embedded/counter	EMB_counter_007	切符を1枚買いました。
embedded/counter	EMB_counter_008	車が1台停まっています。
embedded/counter	EMB_counter_009	もう1回やり直します。
embedded/counter	EMB_counter_010	娘は1歳になりました。
embedded/counter	EMB_counter_011	本を1冊借りました。
embedded/counter	EMB_counter_012	靴を1足新調しました。
embedded/counter	EMB_counter_013	シャツを1着選びました。
embedded/counter	EMB_counter_014	鳥が1羽飛んでいます。
embedded/counter	EMB_counter_015	牛が1頭います。
embedded/counter	EMB_counter_016	家が1軒建ちました。
embedded/counter	EMB_counter_017	鉛筆を3本ください。
embedded/counter	EMB_counter_018	水を3杯飲みました。
embedded/counter	EMB_counter_019	魚が3匹泳いでいます。
embedded/counter	EMB_counter_020	3階でお降りください。
embedded/counter	EMB_counter_021	ビールを6本注文します。
embedded/counter	EMB_counter_022	釘を8本打ちました。
embedded/counter	EMB_counter_023	えんぴつを10本まとめます。
embedded/counter	EMB_counter_024	4人で出かけます。
embedded/counter	EMB_counter_025	7人が参加しました。
embedded/counter	EMB_counter_026	息子は20歳になりました。
embedded/counter	EMB_counter_027	20日に集合します。
embedded/counter	EMB_counter_028	2つ目の角を右に曲がってください。
embedded/counter	EMB_counter_029	9個入りの箱です。
embedded/counter	EMB_counter_030	100人を超えました。
embedded/counter	EMB_counter_031	半分の5個をお渡しします。
embedded/counter	EMB_counter_032	0個です。
embedded/placename	EMB_placename_001	東京都渋谷区神宮前です。
embedded/placename	EMB_placename_002	大阪府大阪市北区梅田に向かいます。
embedded/placename	EMB_placename_003	北海道札幌市中央区の天気です。
embedded/placename	EMB_placename_004	神奈川県横浜市港北区新横浜駅に到着します。
embedded/placename	EMB_placename_005	京都府京都市東山区清水寺の周辺は混雑しています。
embedded/placename	EMB_placename_006	福岡県福岡市博多区です。
embedded/placename	EMB_placename_007	愛知県名古屋市中村区名駅四丁目。
embedded/placename	EMB_placename_008	沖縄県那覇市国際通り。
embedded/placename	EMB_placename_009	青森県弘前市の気温は、氷点下3度です。
embedded/placename	EMB_placename_010	石川県金沢市兼六町。
embedded/placename	EMB_placename_011	広島県広島市中区紙屋町。
embedded/placename	EMB_placename_012	宮城県仙台市青葉区一番町。
embedded/placename	EMB_placename_013	長野県松本市の標高は、592メートルです。
embedded/placename	EMB_placename_014	鹿児島県霧島市国分中央。
embedded/placename	EMB_placename_015	秋田県横手市十文字町。
embedded/placename	EMB_placename_016	三重県四日市市の道路情報です。
embedded/placename	EMB_placename_017	群馬県前橋市。
embedded/placename	EMB_placename_018	滋賀県大津市琵琶湖沿い。
embedded/personname	EMB_personname_001	田中太郎さん、お待たせしました。
embedded/personname	EMB_personname_002	佐藤花子様、ご案内します。
embedded/personname	EMB_personname_003	鈴木一郎さんから着信があります。
embedded/personname	EMB_personname_004	高橋健太様のご予約です。
embedded/personname	EMB_personname_005	渡辺美咲さんにメッセージを送ります。
embedded/personname	EMB_personname_006	伊藤裕子先生をお呼びします。
embedded/personname	EMB_personname_007	山本大輔さん、受付にお越しください。
embedded/personname	EMB_personname_008	中村さくら様、番号札は12番です。
embedded/personname	EMB_personname_009	小林翔太くん、おかえりなさい。
embedded/personname	EMB_personname_010	加藤結衣さんの誕生日は明日です。
embedded/personname	EMB_personname_011	吉田茂雄様、確認いたしました。
embedded/personname	EMB_personname_012	松本あかりさんが入室しました。
embedded/personname	EMB_personname_013	井上直樹さん宛の荷物が届いています。
embedded/personname	EMB_personname_014	木村拓也様、こちらへどうぞ。
embedded/personname	EMB_personname_015	清水陽菜さんを登録しました。
embedded/unit	EMB_unit_001	室温は、25.5度です。
embedded/unit	EMB_unit_002	湿度は、62パーセントです。
embedded/unit	EMB_unit_003	気圧は、1013ヘクトパスカルです。
embedded/unit	EMB_unit_004	距離は、1.8キロメートルです。
embedded/unit	EMB_unit_005	体重は、64.3キログラムでした。
embedded/unit	EMB_unit_006	風速は、毎秒4メートルです。
embedded/unit	EMB_unit_007	消費電力は、12ワットです。
embedded/unit	EMB_unit_008	電圧は、3.3ボルトです。
embedded/unit	EMB_unit_009	容量は、512メガバイトです。
embedded/unit	EMB_unit_010	速度は、時速40キロメートルです。
embedded/unit	EMB_unit_011	面積は、85平方メートルです。
embedded/unit	EMB_unit_012	水量は、1.5リットルです。
embedded/unit	EMB_unit_013	厚さは、0.8ミリメートルです。
embedded/unit	EMB_unit_014	周波数は、44.1キロヘルツです。
embedded/unit	EMB_unit_015	明るさは、300ルクスです。
embedded/unit	EMB_unit_016	降水確率は、70パーセントです。
embedded/unit	EMB_unit_017	マイナス2.5度まで下がります。
embedded/unit	EMB_unit_018	95パーセント充電されました。
embedded/numstring	EMB_numstring_001	型番は、エーエス3200ビーです。
embedded/numstring	EMB_numstring_002	シリアル番号、XY7841です。
embedded/numstring	EMB_numstring_003	郵便番号は、150-0001です。
embedded/numstring	EMB_numstring_004	電話番号は、03-1234-5678です。
embedded/numstring	EMB_numstring_005	認証コードは、4821です。
embedded/numstring	EMB_numstring_006	部屋番号、1204号室です。
embedded/numstring	EMB_numstring_007	IPアドレスは、192.168.0.1です。
embedded/numstring	EMB_numstring_008	バージョン2.1.4に更新しました。
embedded/numstring	EMB_numstring_009	Wi-Fiに接続しました。
embedded/numstring	EMB_numstring_010	USBケーブルを接続してください。
embedded/numstring	EMB_numstring_011	SDカードを挿入してください。
embedded/numstring	EMB_numstring_012	QRコードを読み取ってください。
embedded/numstring	EMB_numstring_013	モデルESP32-S3を検出しました。
embedded/numstring	EMB_numstring_014	チャンネル11を使用します。
embedded/numstring	EMB_numstring_015	PIN番号を入力してください。
embedded/numstring	EMB_numstring_016	注文番号、A1B2C3です。
embedded/numstring	EMB_numstring_017	座席は、12列45番です。
embedded/numstring	EMB_numstring_018	第3ターミナル、ゲート27番です。
embedded/question	EMB_question_001	設定を保存しますか。
embedded/question	EMB_question_002	本当に削除してよろしいですか。
embedded/question	EMB_question_003	もう一度再生しますか。
embedded/question	EMB_question_004	どちらへ行きますか。
embedded/question	EMB_question_005	何時に起こしましょうか。
embedded/question	EMB_question_006	音量を上げますか、下げますか。
embedded/question	EMB_question_007	これでよろしいですか?
embedded/question	EMB_question_008	次に進みますか?
embedded/question	EMB_question_009	電源を切りますか?
embedded/question	EMB_question_010	お名前は何ですか。
embedded/question	EMB_question_011	いくつ必要ですか。
embedded/question	EMB_question_012	なぜ止まったのですか。
